,price,manufacturer,graphics_copressor,ram,num_processors,touchable,ips,ppi,cpu_name,memory,os
255,2066.0,Acer,NVIDIA,16,14,0,1,141.50971698084905,Intel Core i7,1024,Windows
256,1645.0,Acer,NVIDIA,16,10,0,1,141.50971698084905,Intel Core i7,1024,Windows
257,1929.0,Acer,NVIDIA,16,14,0,0,141.50971698084905,Intel Core i7,1024,Windows
258,2064.0,Acer,NVIDIA,16,8,0,1,188.67962264113208,Intel Core i7,1024,Windows
259,2941.0,Dell,NVIDIA,16,16,0,1,188.67962264113208,Intel Core i7,1024,Windows
260,1624.0,Dell,NVIDIA,16,10,0,0,188.67962264113208,Intel Core i7,1024,Windows
261,1759.0,Acer,NVIDIA,16,8,0,1,127.33567457123111,Intel Core i7,1024,Windows
262,1673.0,HP,NVIDIA,16,10,0,0,127.33567457123111,Intel Core i7,1024,Windows
263,1159.0,Acer,NVIDIA,16,12,0,0,141.21199808219862,Intel Core i5,1024,Windows
264,1449.0,Acer,NVIDIA,16,12,0,0,127.33567457123111,Intel Core i5,1024,Windows
265,1510.0,Acer,NVIDIA,16,8,0,1,127.33567457123111,Intel Core i5,1024,Windows
266,1578.0,Acer,NVIDIA,16,8,0,1,127.33567457123111,Intel Core i5,1024,Windows
267,1799.0,Acer,NVIDIA,16,8,0,0,188.28266410959816,AMD Ryzen 7,1024,Windows
268,1599.0,Dell,NVIDIA,16,8,0,0,141.21199808219862,AMD Ryzen 7,1024,Windows
269,1929.0,Acer,NVIDIA,16,8,0,1,127.33567457123111,AMD Ryzen 7,1024,Windows
270,2199.0,Acer,NVIDIA,16,8,0,1,174.50138510162503,AMD Ryzen 7,1024,Windows
272,2266.0,Acer,NVIDIA,16,8,0,1,174.50138510162503,AMD Ryzen 7,1024,Windows
273,1996.0,Acer,NVIDIA,16,8,0,0,127.33567457123111,AMD Ryzen 7,1024,Windows
274,1749.0,Acer,NVIDIA,16,8,0,1,127.33567457123111,AMD Ryzen 7,1024,Windows
275,1724.0,Acer,NVIDIA,16,8,0,1,127.33567457123111,AMD Ryzen 7,1024,Windows
276,1849.0,Acer,NVIDIA,16,8,0,1,169.78089942830815,AMD Ryzen 7,1024,Windows
277,1399.0,Dell,NVIDIA,16,6,0,0,141.21199808219862,AMD Ryzen 5,1024,Windows
278,1079.0,HP,NVIDIA,16,6,0,0,141.21199808219862,AMD Ryzen 5,1024,Windows
